135	0	1	0	-1	0	1
139.6	0	1	0	-1	1	1
547.3	0	0	0	-1	0	1
769.3	0	1	1	-1	0	9
782.6	0	0	1	-1	0	3
957.8	0	0	0	-1	0	1
980	0	0	0	-1	0	1
984.8	0	1	0	-1	0	3
1019.4	0	0	1	-1	0	3
1170	0	0	1	-1	0	3
1229.5	0	1	1	-1	0	9
1230	0	1	1	-1	0	9
1275.4	0	0	2	-1	0	5
1281.9	0	0	1	-1	0	3
1297	0	0	0	-1	0	1
1300	0	1	0	-1	0	3
1318.0	0	1	2	-1	0	15
1426.3	0	0	1	-1	0	3
1419	0	0	1	-1	0	3
1435	0	0	0	-1	0	1
1474	0	1	0	-1	0	3
1465	0	1	1	-1	0	9
1500	0	0	0	-1	0	1
1525	0	0	2	-1	0	5
1649	0	0	1	-1	0	3
1667	0	0	3	-1	0	7
1670	0	1	2	-1	0	15
1680	0	0	1	-1	0	3
1691	0	1	3	-1	0	21
1700	0	1	1	-1	0	9
1715	0	0	0	-1	0	1
1801	0	1	0	-1	0	3
1854	0	0	3	-1	0	7
2011	0	0	2	-1	0	5
2014	0	1	4	-1	0	27
2034	0	0	4	-1	0	9
2297	0	0	2	-1	0	5
2339	0	0	2	-1	0	5
493.7	0	0.5	0	-1	1	1
497.7	0	0.5	0	-1	1	1
892.0	0	0.5	1	-1	1	6
1273	0	0.5	1	-1	1	6
1402	0	0.5	1	-1	1	6
1414	0	0.5	1	-1	1	6
1412	0	0.5	0	-1	1	2
1430	0	0.5	2	-1	1	10
1717	0	0.5	1	-1	1	6
1773	0	0.5	2	-1	1	10
1776	0	0.5	3	-1	1	14
1816	0	0.5	2	-1	1	10
2045	0	0.5	4	-1	1	18
938.3	1	0.5	0.5	1	1	2
939.6	1	0.5	0.5	1	1	2
1440	1	0.5	0.5	1	1	4
1520	1	0.5	1.5	1	1	8
1535	1	0.5	0.5	1	1	4
1650	1	0.5	0.5	1	1	4
1675	1	0.5	2.5	1	1	12
1680	1	0.5	2.5	1	1	12
1700	1	0.5	1.5	1	1	8
1710	1	0.5	0.5	1	1	4
1720	1	0.5	1.5	1	1	8
1900	1	0.5	1.5	1	1	8
1990	1	0.5	3.5	1	1	16
1232	1	1.5	1.5	1	1	16
1600	1	1.5	1.5	1	1	16
1620	1	1.5	0.5	1	1	8
1700	1	1.5	1.5	1	1	16
1900	1	1.5	0.5	1	1	8
1905	1	1.5	2.5	1	1	24
1910	1	1.5	0.5	1	1	8
1920	1	1.5	1.5	1	1	16
1930	1	1.5	2.5	1	1	24
1950	1	1.5	3.5	1	1	32
1115.7	1	0	0.5	1	1	2
1406	1	0	0.5	1	1	2
1520	1	0	1.5	1	1	4
1600	1	0	0.5	1	1	2
1670	1	0	0.5	1	1	2
1690	1	0	1.5	1	1	4
1800	1	0	0.5	1	1	2
1810	1	0	0.5	1	1	2
1820	1	0	2.5	1	1	6
1830	1	0	2.5	1	1	6
1890	1	0	1.5	1	1	4
2100	1	0	3.5	1	1	8
2110	1	0	2.5	1	1	6
1192	1	1	0.5	1	1	6
1385	1	1	1.5	1	1	12
1660	1	1	0.5	1	1	6
1670	1	1	1.5	1	1	12
1750	1	1	0.5	1	1	6
1775	1	1	2.5	1	1	18
1915	1	1	2.5	1	1	18
1940	1	1	1.5	1	1	12
2030	1	1	3.5	1	1	24
1317	1	0.5	0.5	1	1	4
1530	1	0.5	1.5	1	1	8
1690	1	0.5	0.5	1	1	4
1820	1	0.5	1.5	1	1	8
1950	1	0.5	1.5	1	1	8
1672.5	1	0	1.5	1	1	4
0	0.33333333	0	0.5	1	1	6
0	0.33333333	0	0.5	1	1	6
150	0.33333333	0	0.5	1	1	6
0	0	0	1	-1	0	16
